011000015,"FEDERAL RESERVE BANK;1000 PEACHTREE ST N.E.;ATLANTA, GA 30309-4470"
101005027,"BANK OF BLUE VALLEY;7900 COLLEGE BLVD;OVERLAND PARK, KS 66210-0000"
101005360,"BANK OF BELTON;204 MAIN ST;BELTON, MO 64012-0070"
101005483,"METCALF BANK;PO BOX 1400;LEE'S SUMMIT, MO 64063-8184"
101005645,"NORTHLAND NATIONAL BANK;99 N.E. 72ND;GLADSTONE, MO 64118-0000"
101005690,"BANK MIDWEST NA;PO BOX 26158;KANSAS CITY, MO 64196-9800"
101006039,"M&I MARSHALL & ILSLEY BANK;4701 W. SCHROEDER DR.;BROWN DEER, WI 53223-0000"
101006699,"BANK MIDWEST, N.A.;PO BOX 26158;KANSAS CITY, MO 64196-9800"
101006709,"PEOPLES BANK;212 S. BROADWAY;LOUISBURG, KS 66053-0000"
101006725,"SECURITY BANK OF KANSAS CITY;701 MINNESOTA AVE.;KANSAS CITY, KS 66101-0000"
101006893,"BANK OF BLUE VALLEY;7900 COLLEGE BLVD;OVERLAND PARK, KS 66210-0000"
101007009,"ENTERPRISE BANK;1281 N WARSON RD;ST. LOUIS, MO 63132-0000"
101007041,"PEOPLES BANK;212 S. BROADWAY;LOUISBURG, KS 66053-0000"
101009780,"UMB BANK,N.A.;1008 OAK ST.;KANSAS CITY, MO 64106-0000"
101010672,"METCALF BANK;PO BOX 1400;LEE'S SUMMIT, MO 64063-8184"
101011244,"COUNTRY CLUB BANK;414 NICHOLS RD;KANSAS CITY, MO 64112-2005"
101011998,"MISSION BANK;5201 JOHNSON DR;MISSION, KS 66205-2920"
101012939,"PATRIOTS BANK;913 W LIBERTY DRIVE;LIBERTY, MO 64068-0000"
101014733,"METCALF BANK;PO BOX 1400;LEE'S SUMMIT, MO 64063-8184"
101014759,"ARVEST BANK;PO BOX 799;LOWELL, AR 72745-0000"
101014869,"NATIONAL BANK OF KANSAS CITY;10700 NALL AVE #100;OVERLAND PARK, KS 66211-0000"
101014924,"ALTERRA BANK;11120 W 135TH STREET;OVERLAND PARK, KS 66221-0000"
101014953,"CORNERSTONE BANK;9120 W. 135TH ST;OVERLAND PARK, KS 66221-0000"
101014966,"CROSSFIRST BANK LEAWOOD;4707 W. 135TH ST.;LEAWOOD, KS 66224-0000"
101015020,"HEARTLAND BANK;4801 TOWN CENTER;LEAWOOD, KS 66211-0000"
101015046,"BANK OF PRAIRIE VILLAGE;3515 WEST 75TH STREET;PRAIRIE VILLAGE, KS 66208-0000"
101015088,"FREEDOM BANK;6640 W 143TH ST;OVERLAND PARK, KS 66223-0000"
101015101,"BOKF, N.A.;ACH DEPARTMENT;TULSA, OK 74135-0000"
101015169,"HEARTLAND BANK;4801 TOWN CENTER DRIVE;LEAWOOD, KS 66211-0000"
101015185,"1ST FINANCIAL BANK;11120 W 135TH ST;OVERLAND PARK, KS 66221-0000"
101015198,"BANK OF THE PRAIRIE;18675 W 151ST ST;OLATHE, KS 66062-0000"
101015224,"VALLEY VIEW BANK;7500 WEST 95TH STREET;OVERLAND PARK, KS 66212-0000"
101015237,"THE MISSION BANK;5201 JOHNSON DRIVE;MISSION, KS 66205-0000"
101015266,"TOWN & COUNTRY BANK;4707 W 135TH STREET;LEAWOOD, KS 66224-0000"
101015282,"CROSSFIRST BANK;SUITE 150;OVERLAND PARK, KS 66210-0000"
101017031,"1ST NATIONAL BANK OF MISSOURI;5 & BROADWAY;OAK GROVE, MO 64075-0000"
101018933,"ENTERPRISE BANK & TRUST;1281 N WARSON RD;ST. LOUIS, MO 63132-0000"
101019068,"PATRIOTS BANK;913 W LIBERTY DRIVE;LIBERTY, MO 64068-0000"
101019084,"CENTRAL BANK OF KANSAS CITY;2301 INDEPENDENCE BLVD;KANSAS CITY, MO 64124-0000"
101019194,"SUMMIT BANK OF KANSAS CITY;SUITE 100;LEES SUMMIT, MO 64086-0000"
101019327,"BANK OF LEE'S SUMMIT;210 SW MAIN ST;LEE'S SUMMIT, MO 64063-0000"
101019482,"ARMED FORCES BANK;1111 MAIN SUITE 201;KANSAS CITY, MO 64105-0000"
101050001,"THE VAULT FEDERAL RESERVE BANK KC;1 MEMORIAL DRIVE;KANSAS CITY, MO 64198-0000"
101050014,"NETWORK SERVICE CENTER;925 GRAND BLVD;KANSAS CITY, MO 64198-0000"
101059002,"FRB- FINANCIAL MANAGEMENT;925 GRAND;KANSAS CITY, MO 64198-0000"
101059950,"DISTRICT FACILITIES - FRB KC;1 MEMORIAL DRIVE;KANSAS CITY, MO 64198-0000"
101059992,"PUBLIC AFFAIRS-FEDERAL RESERVE KC;925 GRAND BOULEVARD;KANSAS CITY, MO 64198-0000"
101089292,"WELLS FARGO BANK;MC- NC 6024;WINSTON-SALEM, NC 27101-0000"
101089496,"THE FEDERAL SAVINGS BANK;FIRST FLOOR;OVERLAND PARK, KS 66210-0000"
101089700,"H & R BLOCK BANK;ONE H & R BLOCK WAY;KANSAS CITY, MO 64105-0000"
101089742,"H & R BLOCK BANK;ONE H&R BLOCK WAY;KANSAS CITY, MO 64105-0000"
101089807,"THE PRIVATE BK. & TR. CO;SUITE 200;CHICAGO, IL 60602-0000"
101089810,"FIRST CITIZENS BANK & TRUST COMPANY;DAC 28;RALEIGH, NC 27603-0000"
101089823,"FIRST CITIZENS BANK & TRUST COMPANY;DAC 28;RALEIGH, NC 27603-0000"
101089865,"ADAMS DAIRY BANK;651 NE CORONADO DRIVE;BLUE SPRINGS, MO 64014-0000"
101100016,"EXCHANGE NATIONAL BANK & TRUST CO.;630 DELAWARE;LEAVENWORTH, KS 66048-0109"
101100029,"INTRUST BANK, NA;BOX ONE;WICHITA, KS 67202-0001"
101100045,"BANK OF AMERICA N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
101100100,"COUNTRY CLUB BANK;414 NICHOLS RD;KANSAS CITY, MO 64112-2005"
101100113,"EXCHANGE NATL BANK & TRUST;630 DELAWARE;LEAVENWORTH, KS 66048-0109"
101100142,"KAW VALLEY BANK;PO BOX 8009;TOPEKA, KS 66608-0009"
101100171,"FIRST NATIONAL BANK;BOX 913;HUTCHINSON, KS 67504-0000"
101100223,"CENTRAL BANK & TRUST COMPANY;101 WEST AVENUE A;HUTCHINSON, KS 67501-0000"
101100265,"M&I MARSHALL & ILSLEY BANK;4701 W. SCHROEDER DR.;BROWN DEER, WI 53223-0000"
101100317,"CONDON BANK AND TRUST;PO BOX 937;COFFEYVILLE, KS 67337-5826"
101100375,"COMMERCIAL BANK;1830 MAIN;PARSONS, KS 67357-3366"
101100540,"COMMERCE BANK N.A.;811 MAIN;KANSAS CITY, MO 64105-0000"
101100566,"CITIZENS BANK N.A.;200 SOUTH MAIN STREET;FORT SCOTT, KS 66701-2045"
101100579,"EMPRISE BANK;2001 N. BROADWAY ST;WICHITA, KS 67214-1126"
101100605,"THE CITY STATE BANK;1012 HIGHWAY 69;FORT SCOTT, KS 66701-0000"
101100618,"SOUTHWEST NATIONAL BANK;PO BOX 1401;WICHITA, KS 67201-0000"
101100621,"SUNFLOWER BANK, N.A.;3025 CORTLAND CIRCLE;SALINA, KS 67401-0000"
101100634,"UMB NATIONAL BANK OF AMERICA SALINA;100 S SANTA FE;SALINA, KS 67401-2810"
101100663,"CITIZENS BANK & TRUST;PO BOX 50;CHILLICOTHE, MO 64601-2245"
101100676,"FIDELITY STATE BANK TOPEKA;600 SOUTH KANSAS AVE;TOPEKA, KS 66603-0000"
101100692,"BANK OF COMMERCE;PO BOX 538;CHANUTE, KS 66720-1750"
101100728,"COREFIRST BANK & TRUST;3035 SW TOPEKA BLVD;TOPEKA, KS 66611-2155"
101100760,"ESB FINANCIAL;801 MERCHANT STREET;EMPORIA, KS 66801-0000"
101100786,"LYON COUNTY STATE BANK;902 MERCHANT;EMPORIA, KS 66801-0000"
101100854,"FIRST BANK OF NEWTON;PO BOX 587;NEWTON, KS 67114-2222"
101100906,"MIDLAND NATIONAL BANK NEWTON;527 MAIN STREET;NEWTON, KS 67114-2256"
101100922,"PEOPLES BANK;212 S. BROADWAY;LOUISBURG, KS 66053-0000"
101100964,"KANSAS STATE BANK;PO BOX 720;OTTAWA, KS 66067-1919"
101100993,"UNION STATE BANK;127 S SUMMIT STREET;ARKANSAS CITY, KS 67005-2679"
101101015,"SUNFLOWER BANK, NA;3025 CORTLAND CIRCLE;SALINA, KS 67401-0000"
101101031,"FIRST NATIONAL BANK;PO BOX 398;WELLINGTON, KS 67152-0398"
101101057,"SECURITY STATE BANK;PO BOX 160;WELLINGTON, KS 67152-3950"
101101060,"THE BANK OF COMMERCE & TRUST CO;PO BOX 529;WELLINGTON, KS 67152-3842"
101101109,"CORNERBANK, N.A.;900 MAIN;WINFIELD, KS 67156-0545"
101101125,"UNION STATE BANK;127 S SUMMIT STREET;ARKANSAS CITY, KS 67005-2679"
101101138,"UMB BANK,N.A.;1008 OAK ST.;KANSAS CITY, MO 64106-0000"
101101141,"CAPITAL CITY STATE BANK & TRUST CO;3710 S. TOPEKA BLVD;TOPEKA, KS 66609-0000"
101101154,"TREASURER OF THE STATE OF KANSAS;900 SW JACKSON SUITE 201;TOPEKA, KS 66612-1235"
101101219,"SOUTHWEST NATIONAL BANK;PO BOX 1401;WICHITA, KS 67201-0000"
101101222,"ARMED FORCES BANK;1111 MAIN;KANSAS CITY, MO 64105-0400"
101101248,"LANDMARK NATIONAL BANK;701 POYNTZ AVE;MANHATTAN, KS 66502-0000"
101101293,"CENTRAL NATIONAL BANK;802 N WASHINGTON;JUNCTION CITY, KS 66441-2447"
101101303,"FIRST NATIONAL BANK & TRUST COMPANY;702 N. WASHINGTON;JUNCTION CITY, KS 66441-2980"
101101413,"GARDEN PLAIN STATE BANK;10526 W. MAPLE;WICHITA, KS 67209-0000"
101101439,"PEOPLES STATE BANK;PO BOX 406;CHERRYVALE, KS 67335-0000"
101101455,"PINNACLE BANK;20544 HUSKER DR;GRETNA, NE 68028-0000"
101101471,"COMMUNITY STATE BANK;1414 W 11TH;COFFEYVILLE, KS 67337-5813"
101101523,"ARVEST BANK;PO BOX 799;LOWELL, AR 72745-0000"
101101536,"KANSAS STATE BANK;1010 WESTLOOP;MANHATTAN, KS 66502-0000"
101101552,"THE MISSION BANK;5201 JOHNSON DR;MISSION, KS 66205-2920"
101101581,"PEOPLES BANK & TRUST CO;101 S MAIN;MCPHERSON, KS 67460-1226"
101101594,"HOME STATE BANK & TRUST CO;223 N MAIN;MCPHERSON, KS 67460-1266"
101101620,"UNION STATE BANK CLAY CENTER;P. O. BOX 518;CLAY CENTER, KS 67432-0518"
101101659,"THE PEOPLES BANK;PO BOX B;PRATT, KS 67124-2713"
101101662,"FIRST NATIONAL BANK IN PRATT;223 S MAIN;PRATT, KS 67124-2714"
101101730,"FIDELITY STATE BANK;PO BOX 1120;DODGE CITY, KS 67801-1120"
101101769,"GREAT SOUTHERN BANK;218 S GLENSTONE;SPRINGFIELD, MO 65802-0000"
101101785,"CITIZENS STATE BANK;ONE SECURITY PLAZA;KANSAS CITY, KS 66117-0000"
101101866,"FIRST NATIONAL BANK;101 E. MAIN;BELOIT, KS 67420-0600"
101101879,"GUARANTY STATE BANK & TR CO BELOIT;PO BOX 607;BELOIT, KS 67420-0000"
101101921,"FIRST NATIONAL BANK IN FREDONIA;730 MADISON;FREDONIA, KS 66736-0000"
101101934,"THE STATE BANK OF KANSAS;501 MADISON;FREDONIA, KS 66736-1327"
101101947,"FEDERAL HOME LOAN BANK-TOPEKA;ONE SECURITY BENEFIT PL, SUITE 100;TOPEKA, KS 66606-0000"
101101950,"MORRILL & JANES BK&TR CO;6740 ANTIOCH;MERRIAM, KS 66204-0000"
101101976,"CITIZENS STATE BANK & TRUST CO;PO BOX 360;HIAWATHA, KS 66434-0360"
101101989,"FARMERS BANK & TRUST, N.A.;1017 HARRISON;GREAT BEND, KS 67530-0267"
101101992,"FIRST STATE BANK & TRUST;116 W SIXTH ST;LARNED, KS 67550-0000"
101102014,"FIRST NEODESHA BANK;PO BOX 150;NEODESHA, KS 66757-0150"
101102027,"UMB BANK,N.A.;1008 OAK ST.;KANSAS CITY, MO 64106-0000"
101102043,"SUNFLOWER BANK N A;3025 CORTLAND CIRCLE;SALINA, KS 67401-0000"
101102069,"GIRARD NATIONAL BANK-HOLTON;100 EAST 5TH ST;HOLTON, KS 66436-0229"
101102072,"BANK OF KANSAS;PO BOX 1988;STILLWATER, OK 74076-0000"
101102085,"KANZA BANK;151 N MAIN;KINGMAN, KS 67068-0000"
101102108,"CITIZENS BANK OF KANSAS, N.A.;PO BOX 436;KINGMAN, KS 67068-0000"
101102124,"KANZA BANK;PO BOX 313;KINGMAN, KS 67068-0313"
101102137,"ENTERPRISE BANKING, N.A.;1281 N WARSON RD;ST. LOUIS, MO 63132-0000"
101102166,"FARMERS & DROVERS BANK;201 WEST MAIN;COUNCIL GROVE, KS 66846-1704"
101102182,"FIRST NATIONAL BANK OF GIRARD;205 S SUMMIT;GIRARD, KS 66743-0006"
101102221,"GARNETT STATE SAVINGS BANK;106 E 5TH AVE;GARNETT, KS 66032-0000"
101102289,"HOME BANK & TRUST CO;PO BOX 620;EUREKA, KS 67045-0620"
101102315,"M&I MARSHALL & ILSLEY BANK;4701 W. SCHROEDER DR.;BROWN DEER, WI 53223-0000"
101102331,"CITIZENS STATE BANK;800 BROADWAY;MARYSVILLE, KS 66508-0000"
101102344,"ASTRA BANK;323 4TH ST;SCANDIA, KS 66966-0000"
101102360,"PEOPLES EXCHANGE BANK;1404 28TH STREET;BELLEVILLE, KS 66935-0160"
101102373,"STOCK EXCHANGE BANK;103 SOUTH MAIN;CALDWELL, KS 67022-0273"
101102386,"CALDWELL STATE BANK IN CALDWELL;24 N MAIN;CALDWELL, KS 67022-0000"
101102438,"FIRST BANK;128 SOUTH BROADWAY;STERLING, KS 67579-0067"
101102496,"CITIZENS STATE BANK & TRUST;PO BOX 128;ELLSWORTH, KS 67439-0128"
101102522,"GIRARD NATIONAL BANK, YATES CENTER;101 SOUTH STATE;YATES CENTER, KS 66783-0000"
101102548,"FIRST NATIONAL BANK;202 E 11TH STREET;GOODLAND, KS 67735-3006"
101102551,"BANKWEST OF KANSAS;924 MAIN ST;GOODLAND, KS 67735-0499"
101102564,"FIRST KANSAS BANK;101 N. MAIN;HOISINGTON, KS 67544-2593"
101102645,"FARMERS NATIONAL BANK;PO BOX 130;STAFFORD, KS 67578-0130"
101102658,"STATE BANK OF CARBONDALE;PO BOX 250;CARBONDALE, KS 66414-0250"
101102700,"MARION NATIONAL BANK;PO BOX 295;MARION, KS 66861-0295"
101102755,"FIRST SECURITY BANK & TRUST CO.;201 E. MAIN;NORTON, KS 67654-0383"
101102768,"FIRST STATE BANK;105 W MAIN;NORTON, KS 67654-0000"
101102784,"SAINT JOHN NATIONAL BANK;116 E. THIRD AVE;ST. JOHN, KS 67576-0000"
101102810,"STATE BANK OF BLUE RAPIDS;PO BOX 157;BLUE RAPIDS, KS 66411-0157"
101102836,"FIRST NATIONAL BANK LIBERAL;1700 N LINCOLN AVE;LIBERAL, KS 67901-0000"
101102849,"SUNFLOWER BANK NA;3025 CORTLAND CIRCLE;SALINA, KS 67401-0000"
101102852,"FIRST NATIONAL BANK;806 W. 5TH STREET;WAMEGO, KS 66547-0000"
101102865,"WESTERN STATE BANK;PO BOX 1198;GARDEN CITY, KS 67846-1198"
101102878,"VERUS BANK;PO BOX 330;DERBY, KS 67037-0000"
101102920,"CHISHOLM TRAIL STATE BANK;PO BOX 4658;WICHITA, KS 67204-2016"
101102933,"BAXTER STATE BANK;1401 MILITARY AVE;BAXTER SPRINGS, KS 66713-0000"
101102959,"PONY EXPRESS COMMUNITY BANK;624 FELIX;ST JOSEPH, MO 64501-0000"
101102962,"THE FARMERS BANK OF OSBORNE;PO BOX 189;OSBORNE, KS 67473-0189"
101102988,"CHETOPA STATE BANK & TRUST CO;409 MAPLE STREET;CHETOPA, KS 67336-0000"
101103026,"FIRST NATIONAL BANK WASHINGTON;101 C STREET;WASHINGTON, KS 66968-0000"
101103068,"FIRST STATE BANK OF KIOWA;PO BOX 105;KIOWA, KS 67070-0105"
101103084,"THE BANK OF PROTECTION;PO BOX 98;PROTECTION, KS 67127-0000"
101103149,"STATE BANK OF DOWNS;900 N MORGAN;DOWNS, KS 67437-0216"
101103152,"DOWNS NATIONAL BANK;800 N. MORGAN AVE;DOWNS, KS 67437-0186"
101103220,"PEABODY STATE BANK;201 N WALNUT;PEABODY, KS 66866-0000"
101103233,"EQUITY BANK;7701 E KELLOGG STE 100;WICHITA, KS 67207-0000"
101103275,"BALDWIN STATE BANK;721 HIGH ST.;BALDWIN CITY, KS 66006-0046"
101103327,"STOCKTON NATIONAL BANK;PO BOX 511;STOCKTON, KS 67669-1635"
101103356,"FIRST NATIONAL BANK & TRUST;PO BOX 627;PHILLIPSBURG, KS 67661-1927"
101103385,"CONWAY BANK, NA;121 E KELLOGG;WICHITA, KS 67202-0000"
101103398,"STATE BANK OF CONWAY SPRINGS;PO BOX 127;CONWAY SPRINGS, KS 67031-0127"
101103408,"FIRST NATIONAL BANK OF SMITH CENTER;133 S MAIN;SMITH CENTER, KS 66967-0000"
101103440,"ARVEST BANK;PO BOX 799;LOWELL, AR 72745-0000"
101103466,"FIRST NATIONAL BANK OF SEDAN;PO BOX E;SEDAN, KS 67361-0000"
101103521,"FIRST NATIONAL BANK;PO BOX 429;HOLCOMB, KS 67851-0429"
101103547,"HOWARD STATE BANK;PO BOX 428;HOWARD, KS 67349-0428"
101103550,"FIRST NATIONAL BANK OF HOWARD;PO BOX 308;HOWARD, KS 67349-0308"
101103589,"CENTRAL NATIONAL BANK;802 N WASHINGTON;JUNCTION CITY, KS 66441-2482"
101103592,"STATE EXCHANGE BANK OF MANKATO;PO BOX 284;MANKATO, KS 66956-0284"
101103644,"SUNFLOWER BANK;3025 CORTLAND CIRCLE;SALINA, KS 67401-0000"
101103660,"KENDALL STATE BANK;406 BROADWAY;VALLEY FALLS, KS 66088-0000"
101103686,"FIRST NATIONAL BANK OF SYRACUSE;11 NORTH MAIN;SYRACUSE, KS 67878-0000"
101103699,"VALLEY STATE BANK OF SYRACUSE;PO BOX 1277;SYRACUSE, KS 67878-1277"
101103725,"CARSON BANK;PO BOX 158;MULVANE, KS 67110-0158"
101103754,"ELK STATE BANK;PO BOX 99;CLYDE, KS 66938-0306"
101103835,"HALSTEAD BANK;314 MAIN STREET;HALSTEAD, KS 67056-1915"
101103851,"FARMERS & MERCHANTS BANK;ROXANNE KLAUS;HILL CITY, KS 67642-0338"
101103880,"WILSON STATE BANK;422 26TH STREET;WILSON, KS 67490-0000"
101103974,"SOLOMON STATE BANK;126 W. MAIN ST.;SOLOMON, KS 67480-0305"
101104009,"FIRST BANK OF TROY;PO BOX 519;TROY, KS 66087-0519"
101104012,"TROY STATE BANK;121 S MAIN ST;TROY, KS 66087-0000"
101104041,"FIRST NATIONAL BANK OF SCOTT CITY;PO BOX 290;SCOTT CITY, KS 67871-0000"
101104067,"STOCKGROWERS STATE BANK;622 MAIN STREET;ASHLAND, KS 67831-0458"
101104070,"THE BANK OF PROTECTION;PO BOX 98;PROTECTION, KS 67127-0000"
101104096,"EXCHANGE NATIONAL BANK;PO BOX 310;COTTONWOOD FALLS, KS 66845-0000"
101104106,"TREGO-WAKEENEY STATE BANK;134 MAIN STREET;WAKEENEY, KS 67672-0000"
101104122,"FARMERS & MERCHANTS STATE BANK;719 WISCONSIN;CAWKER CITY, KS 67430-0006"
101104151,"STATE BANK OF OSKALOOSA;518 LIBERTY STREET;OSKALOOSA, KS 66066-0000"
101104164,"VALLEY STATE BANK;PO BOX 428;BELLE PLAINE, KS 67013-0000"
101104287,"FLINT HILLS BANK OF ESKRIDGE;913 MARKET;OSAGE CITY, KS 66523-0000"
101104342,"FARMERS STATE BANK OF WATHENA;PO BOX 219;WATHENA, KS 66090-0000"
101104355,"STATE BANK OF DELPHOS;PO BOX 305;DELPHOS, KS 67436-0000"
101104384,"BENDENA STATE BANK;933 FRIENDSHIP ROAD;BENDENA, KS 66008-0000"
101104407,"LYNDON STATE BANK;817 TOPEKA AVENUE;LYNDON, KS 66451-0000"
101104436,"FIRST NATIONAL BANK OF KANSAS;600 N. 4TH ST.;BURLINGTON, KS 66839-0000"
101104494,"CITIZENS STATE BANK;306 NORTH MAIN;CHENEY, KS 67025-0509"
101104504,"COMMUNITY NATIONAL BANK;210 MAIN ST;SENECA, KS 66538-0210"
101104546,"FIRST COMMUNITY BANK;THIRD & SHERMAN;MADISON, KS 66860-0278"
101104562,"U.S. AGBANK, FCB;245 N WACO;WICHITA, KS 67202-0000"
101104588,"MARQUETTE FARMERS STATE BANK;205 N. WASHINGTON;MARQUETTE, KS 67464-0000"
101104630,"DICKINSON COUNTY BANK;PO BOX 217;ENTERPRISE, KS 67441-0217"
101104685,"ALMENA STATE BANK;500 MAIN STREET;ALMENA, KS 67622-0000"
101104708,"GIRARD NATIONAL BANK-BUCKLIN;110 N MAIN;BUCKLIN, KS 67834-0000"
101104711,"FARMERS STATE BANK OF BUCKLIN;111 N MAIN;BUCKLIN, KS 67834-0000"
101104740,"STATE BANK OF CANTON;PO BOX 66;CANTON, KS 67428-0000"
101104766,"THE BANK OF PROTECTION;PO BOX 98;PROTECTION, KS 67127-0000"
101104779,"PEOPLES BANK;PO BOX 727;COLDWATER, KS 67029-0000"
101104795,"FARMERS STATE BANK OF OAKLEY;100 CENTER;OAKLEY, KS 67748-0000"
101104805,"BANKERS' BANK OF KANSAS,N.A.;PO BOX 20810;WICHITA, KS 67208-0000"
101104863,"FIRST NATIONAL BANK OF CENTRALIA;620 FOURTH ST.;CENTRALIA, KS 66415-0000"
101104928,"BENNINGTON STATE BANK;2130 S OHIO;SALINA, KS 67402-1280"
101104944,"WELLSVILLE BANK;PO BOX 308;WELLSVILLE, KS 66092-0308"
101104973,"KAW VALLEY STATE BANK;739 MAIN ST.;EUDORA, KS 66025-0000"
101105079,"THE CITIZENS STATE BANK;201 N. MAIN;HESSTON, KS 67062-0110"
101105082,"ALLIANT BANK;514 N COMMERICAL;SEDGWICK, KS 67135-1560"
101105118,"GARDNER BANK;PO BOX 429;GARDNER, KS 66030-0000"
101105244,"FIRST NATIONAL BANK;PO BOX 1000;ELKHART, KS 67950-1000"
101105257,"FIRST NATIONAL BANK IN CIMARRON;PO BOX 129;CIMARRON, KS 67835-0000"
101105286,"FORD COUNTY STATE BANK;PO BOX 96;SPEARVILLE, KS 67876-0096"
101105299,"FIRST NATIONAL BANK OF SPEARVILLE;401 N MAIN ST.;SPEARVILLE, KS 67876-0188"
101105341,"UNION STATE BANK;545 MAIN;EVEREST, KS 66424-0000"
101105354,"EQUITY BANK;7701 E KELLOGG STE 100;WICHITA, KS 67207-0000"
101105419,"BANK VI;PO BOX 77;SALINA, KS 67402-0077"
101105448,"FARMERS STATE BANK OF ALICEVILLE;305 DOBELL STREET - ALICEVILLE;WESTPHALIA, KS 66093-0000"
101105558,"BANK OF COMMERCE;PO BOX 538;CHANUTE, KS 66720-1750"
101105590,"STATE BANK;745 MAIN STREET;HOXIE, KS 67740-0000"
101105600,"FIRST NATIONAL BANK;BOX 913;HUTCHINSON, KS 67504-0000"
101105626,"FIRST NATIONAL BANK OF SOUTHERN KS;P. O. BOX 189;MOUNT HOPE, KS 67108-0189"
101105668,"BANK OF WHITEWATER;126 S MAIN;WHITEWATER, KS 67154-0000"
101105684,"METCALF BANK;PO BOX 1400;LEE'S SUMMIT, MO 64063-8184"
101105710,"THE RILEY STATE BANK;201 S. BROADWAY;RILEY, KS 66531-0218"
101105765,"KANSAS STATE BANK OF OVERBROOK;PO BOX 325;OVERBROOK, KS 66524-0325"
101105778,"FIRST SECURITY BANK OF OVERBROOK;PO BOX 306;OVERBROOK, KS 66524-0306"
101105781,"ALTA VISTA STATE BANK;619 MAIN;ALTA VISTA, KS 66834-0249"
101105817,"COMMUNITY NATIONAL BANK & TRUST;115 E FIRST;CHANUTE, KS 66720-0000"
101105927,"FARMERS STATE BANK;PO BOX 330;WESTMORELAND, KS 66549-0000"
101105969,"THE BANK;P. O. BOX 148;OBERLIN, KS 67749-0048"
101105985,"FOWLER STATE BANK;401 MAIN;FOWLER, KS 67844-0050"
101106007,"BENNINGTON STATE BANK;2130 S OHIO;SALINA, KS 67402-1280"
101106023,"JAMESTOWN STATE BANK;422 WALNUT;JAMESTOWN, KS 66948-0000"
101106214,"UNION STATE BANK;545 MAIN;EVEREST, KS 66424-0000"
101106227,"UNITED BANK OF KANSAS;201 N BROADWAY;LANCASTER, KS 66041-0000"
101106269,"MERIT BANK;5200 STAHL AVE;GOFF, KS 66428-0000"
101106285,"THE BANK OF TESCOTT;PO BOX 2537;SALINA, KS 67402-2537"
101106324,"EQUITY BANK;SUITE 100;WICHITA, KS 67707-0000"
101106353,"UNITED NATIONAL BANK;702 N 2ND;NATOMA, KS 67651-0040"
101106379,"CITIZENS STATE BANK;PO BOX 102;GRIDLEY, KS 66852-0102"
101106405,"PATRIOTS BANK;131 E 4TH;GARNETT, KS 66032-0327"
101106492,"FIRST NEODESHA BANK;PO BOX 150;NEODESHA, KS 66757-0150"
101106502,"CITIZENS STATE BANK AND TRUST;206 BRENNEKE;BREMEN, KS 66412-0000"
101106528,"LEONARDVILLE STATE BANK;102 W BARTON;LEONARDVILLE, KS 66449-0000"
101106560,"FIRST NATIONAL BANK;105 EAST LONG;DIGHTON, KS 67839-0727"
101106609,"RILEY STATE BANK;201 S. BROADWAY;RILEY, KS 66531-0218"
101106625,"KEARNY COUNTY BANK;221 N MAIN;LAKIN, KS 67860-0000"
101106719,"FARMERS STATE BANK;9601 N MAY AVE;OKLAHOMA CITY, OK 73120-0000"
101106751,"COMMUNITY BANK;5431 S W 29TH ST;TOPEKA, KS 66614-0000"
101106861,"PIQUA STATE BANK;1356 XYLAN ROAD;PIQUA, KS 66761-0000"
101106913,"CITIZENS STATE BANK OF MORLAND;PO BOX 158;MORLAND, KS 67650-0158"
101106939,"UNION STATE BANK;PO BOX 67;OLSBURG, KS 66520-0000"
101106942,"TRI CENTURY BANK;PO BOX 66;SIMPSON, KS 67478-0066"
101107080,"FARMERS BANK & TRUST, N.A.;1017 HARRISON;GREAT BEND, KS 67530-0267"
101107093,"ALDEN STATE BANK, STERLING BRANCH;PO BOX 288;STERLING, KS 67579-0000"
101107116,"FARMERS STATE BANK OF ALICEVILLE;305 DOBELL STREET - ALICEVILLE;WESTPHALIA, KS 66093-0000"
101107158,"KANSASLAND BANK;314 MAIN;QUINTER, KS 67752-0000"
101107200,"FARMERS & MERCHANTS STATE BANK;PO BOX 38;ARGONIA, KS 67004-0038"
101107226,"UMB NATIONAL BANK OF AMERICA;1008 OAK ST.;KANSAS CITY, MO 64106-0000"
101107297,"BAILEYVILLE STATE BANK;611 N SECOND STREET;SENECA, KS 66538-0000"
101107404,"BENDENA STATE BANK;933 FRIENDSHIP ROAD;BENDENA, KS 66008-0147"
101107446,"STATE BANK OF BERN;PO BOX 123;BERN, KS 66408-0000"
101107475,"BISON STATE BANK;223 MAIN;BISON, KS 67520-0328"
101107624,"EMERALD BANK;333 MAIN;BURDEN, KS 67019-0000"
101107747,"COTTONWOOD VALLEY BANK;PO BOX 38;FLORENCE, KS 66851-0000"
101107802,"FARMERS STATE BANK;PO BOX 465;HOLTON, KS 66436-0000"
101107860,"COMMUNITY BANK OF THE MIDWEST;2220 BROADWAY;GREAT BEND, KS 67530-0000"
101107886,"LEGACY BANK;3711 N RIDGE RD;WICHITA, KS 67205-0000"
101107909,"FIRST NATIONAL BANK;620 FOURTH ST.;CENTRALIA, KS 66415-0188"
101108034,"DENISON STATE BANK;PO BOX 71;HOLTON, KS 66436-0071"
